id,titre,type_de_produit,poid_total_du_bijoux,pierre_principale,forme_pierre_principale,couleur_pierre_principale,carat_pierre_principale,nombre_de_pierres,nom_pierre_d_ornements,couleur_pierre_d_ornements,caratage_pierre_d_ornement,prix,description,en_ligne
103,Bague saphir rouge - Sophie,Bague,"5,3",Saphir,Triangle,Rouge,"2,6",12,Diamant,Blanc,"1,05",6800,,TRUE
104,Bague saphir et diamant - Victoire,Bague,"4,8",Diamant,Rond,Bleu,"0,7",14,"Diamant, Rubis","Blanc, Rouge","0,25 - 0,30",3800,,TRUE
105,Bague saphir - Aylin,Bague,"4,2",Saphir,Rond ,Rose,"1,58",12,"Saphir, Diamant","Rose, Blanc","0,60 - 0,60",4800,,TRUE
106,Bague saphir - Zora,Bague,"4,6",Saphir,Rond,Orange,"2,95",21,Diamant,Blanc,"0,8",5400,,TRUE
107,Bague émeraude verte - Néva,Bague,"3,2",Émeraude,Baguette ,Vert,"0,4",46,Diamant,Blanc,"0,22",3200,,TRUE
108,Bague émeraude - Elowen ,Bague,"6,12",Émeraude,Ovale,Vert,"1,15",100,"Saphir, Diamant","Bleu, Blanc","1,25 - 0,80",7800,,TRUE
109,Bague Diamant - Sienna,Bague,"3,8",Diamant,Rond,Blanc,"0,6",,,,,3200,,TRUE
110,Bague émeraude - Kaila,Bague,"4,8",Émeraude,Rond,Vert,"3,6",10,Diamant,Blanc,"0,95",5800,,TRUE
111,Bague émeraude - Lila,Bague,"6,12",Émeraude,Rond,Vert,"6,8",84,Émeraude,Vert,"1,6",6300,,TRUE
112,Bague diamant - Prunelle,Bague,"4,3",Diamant,Rond,Blanc,"0,2",,Diamant,Blanc,"0,8",3050,,TRUE
113,Bague diamant - Althéa ,Bague,"3,65",Diamant,Rond,Blanc,"0,8",,Diamant,Blanc,"0,8",2600,,TRUE
114,Bague diamant - Marjolaine,Bague,"6,8",Diamant,Rond,Blanc,"0,6",,Diamant,Blanc,"1,2",6200,,TRUE
115,Bague diamant - Anéomie,Bague,"7,12",Diamant,Baguette,Blanc,"1,7",,Diamant,Blanc,"0,6",5800,,TRUE
